business,users
Ransom Bay Inn B & B,1
Sandi's Kountry Kitchen,1
Rock Run Inn,2
Rock Bottom Restaurant & Brewery,299
Tillie's Restaurant & Chantillie Lounge,11
Bob Evans,168
Carriage Inn Restaurant and Catering,8
Luciano's Italian Brick Oven,11
Primanti Bros.,344
PPG Paints Arena,64
Buffalo Wild Wings,2042
The Firepit Wood Fired Grill,9
Double Wide Grill,60
SoHo,23
Charlotte Douglas International Airport,900
Hertz Rent A Car,204
Filiberto's Mexican Food,540
Phoenix Sky Harbor International Airport,2382
TownePlace Suites Scottsdale,5
US Airways,261
Tacos Jalisco,11
New Zealand Cafe,103
Bamboo House of Noodle Soups,11
Pittsburgh International Airport,312
P.F. Chang's,903
Renaissance Charlotte Suites Hotel,16
Chick-fil-A,1114
Residence Inn Pittsburgh North Shore,2
Charlotte International Airport Parking,28
Earls Kitchen + Bar,91
Caldero,15
Pita Jungle,1264
Tazza D'oro,18
Stamoolis Brothers Company,3
Lidia's,26
Crepes Parisiennes,37
Tai Pei,5
Oakmont Bakery,46
Shady Grove,25
Little's Shoes,8
AMC Loews Waterfront 22,79
Commonplace Voluto,28
Curbside Coffeehouse,10
Tuesday Morning,42
Aspinwall Beans 'N' Cream,11
Waffallonia,54
Up Modern Kitchen,7
Italian Village Pizza,25
Sandpresso,1
Ramen Bar,33
Sloppy Joe's,4
Cracker Barrel Old Country Store,591
Bernard Chiropractic,1
Helzberg Diamonds,6
Z'Tejas,114
Pei Wei,843
Manuel's Mexican Restaurant - Tempe,40
Boston Market,116
Maple Restaurant,7
House of Tricks,120
In-N-Out Burger,2444
CK's Tavern & Grill,87
Great Harvest Bread,103
Great Clips,564
Spices Mediterranean Kitchen,40
Sami's Gyros,22
Spinato's Pizzeria,340
McDonald's,3374
Which Wich,249
BoSa Donuts,39
Espos Mexican Food,52
Desert Foothills Trailhead,4
Harkins Theatres Chandler Fashion 20,100
Taco Bell,1239
Emilia's Garden,3
Frosted Mug,2
Stoney Creek Golf Center,2
Ladles of Springdale,4
Bamboo Republic,4
Hing Wong Chinese Restaurant,3
Kaleidoscope Café,25
Cleveland Pickle,25
Wicked Witches Bar & Grill,1
Lowe's Home Improvement,286
Ziebart,4
T J Beer Distributing,1
Auto Bath House,5
